,name,year,artists
58659,Kapitel 184 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58658,Часть 21.2 - Фиеста,1926,['Эрнест Хемингуэй']
58657,Kapitel 156 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58655,Ay Zamba - Remasterizado,1926,['Francisco Canaro']
58671,Часть 19.3 - Фиеста,1926,['Эрнест Хемингуэй']
58653,Kapitel 168 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58652,Kapitel 245 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58651,Siempre Amigos - Remasterizado,1926,['Ignacio Corsini']
58650,Kapitel 308 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58649,Kapitel 169 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58648,Часть 64.2 - Фиеста,1926,['Эрнест Хемингуэй']
58647,Часть 44.3 - Фиеста,1926,['Эрнест Хемингуэй']
58644,Часть 83.3 - Фиеста,1926,['Эрнест Хемингуэй']
58654,Kapitel 354 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58675,Kapitel 219 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58676,Часть 30.4 & Часть 31.1 - Фиеста,1926,['Эрнест Хемингуэй']
58686,Kapitel 241 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58687,Kapitel 361 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58688,Kapitel 352 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58690,Часть 12.4 & Часть 13.1 - Фиеста,1926,['Эрнест Хемингуэй']
58691,Kapitel 326 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58684,Kapitel 250 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
58692,Coral,1926,['Iván Rolón']
58693,Kapitel 346 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
39566,Kapitel 372 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76796,Часть 46.2 - Фиеста,1926,['Эрнест Хемингуэй']
58673,Kapitel 413 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
76797,Часть 66.4 & Часть 67.1 - Фиеста,1926,['Эрнест Хемингуэй']
76800,Kapitel 18 - Der Page und die Herzogin,1926,"['Georgette Heyer', 'Irina Salkow']"
